Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share Low,Connecticut,B.1.617.2 (Delta),0.042299435,"2,185"
Share High,Connecticut,B.1.617.2 (Delta),0.163952127,"2,185"
Share,Connecticut,B.1.617.3,0,"2,185"
Share Low,Connecticut,B.1.617.3,0,"2,185"
Share High,Connecticut,B.1.617.3,0,"2,185"
Share,Connecticut,B.1.621 (Mu),0,"2,185"
Share Low,Connecticut,B.1.621 (Mu),0,"2,185"
Share High,Connecticut,B.1.621 (Mu),0,"2,185"
Share,Connecticut,BA.2 (Omicron),0.000630221,"2,185"
Share Low,Connecticut,BA.2 (Omicron),3.765530710e-05,"2,185"
Share High,Connecticut,BA.2 (Omicron),0.002840043,"2,185"
Share,Connecticut,Other,0.004916129,"2,185"
Share Low,Connecticut,Other,4.475491369e-05,"2,185"
Share High,Connecticut,Other,0.032922696,"2,185"
Share,Connecticut,P.1,0,"2,185"
Share Low,Connecticut,P.1,0,"2,185"
Share High,Connecticut,P.1,0,"2,185"
Share,Connecticut,P.2,0,"2,185"
Share Low,Connecticut,P.2,0,"2,185"
Share High,Connecticut,P.2,0,"2,185"
Share,Delaware,AY.1 (Delta),0,"1,342"
Share Low,Delaware,AY.1 (Delta),0,"1,342"
Share High,Delaware,AY.1 (Delta),0,"1,342"
Share,Delaware,AY.2 (Delta),0,"1,342"
Share Low,Delaware,AY.2 (Delta),0,"1,342"
Share High,Delaware,AY.2 (Delta),0,"1,342"
Share,Delaware,B.1.1.7 (Alpha),0,"1,342"
Share Low,Delaware,B.1.1.7 (Alpha),0,"1,342"
Share High,Delaware,B.1.1.7 (Alpha),0,"1,342"
Share,Delaware,B.1.1.529 (Omicron),0.907923996,"1,342"
Share Low,Delaware,B.1.1.529 (Omicron),0.872282803,"1,342"
Share High,Delaware,B.1.1.529 (Omicron),0.936307192,"1,342"
Share,Delaware,B.1.351,0,"1,342"
Share Low,Delaware,B.1.351,0,"1,342"
Share High,Delaware,B.1.351,0,"1,342"
Share,Delaware,B.1.427/429,0,"1,342"
Share Low,Delaware,B.1.427/429,0,"1,342"
Share High,Delaware,B.1.427/429,0,"1,342"
Share,Delaware,B.1.525,0,"1,342"
Share Low,Delaware,B.1.525,0,"1,342"
Share High,Delaware,B.1.525,0,"1,342"
Share,Delaware,B.1.526 (Iota),0,"1,342"
Share Low,Delaware,B.1.526 (Iota),0,"1,342"
Share High,Delaware,B.1.526 (Iota),0,"1,342"
Share,Delaware,B.1.617.1,0,"1,342"
Share Low,Delaware,B.1.617.1,0,"1,342"
Share High,Delaware,B.1.617.1,0,"1,342"
Share,Delaware,B.1.617.2 (Delta),0.090650417,"1,342"
Share Low,Delaware,B.1.617.2 (Delta),0.063678287,"1,342"
Share High,Delaware,B.1.617.2 (Delta),0.124242395,"1,342"
Share,Delaware,B.1.617.3,0,"1,342"
Share Low,Delaware,B.1.617.3,0,"1,342"
Share High,Delaware,B.1.617.3,0,"1,342"
Share,Delaware,B.1.621 (Mu),0,"1,342"
Share Low,Delaware,B.1.621 (Mu),0,"1,342"
Share High,Delaware,B.1.621 (Mu),0,"1,342"
Share,Delaware,BA.2 (Omicron),0,"1,342"
Share Low,Delaware,BA.2 (Omicron),0,"1,342"
Share High,Delaware,BA.2 (Omicron),0,"1,342"
Share,Delaware,Other,0.001425575,"1,342"
Share Low,Delaware,Other,1.029841528e-07,"1,342"
Share High,Delaware,Other,0.017300524,"1,342"
Share,Delaware,P.1,0,"1,342"
Share Low,Delaware,P.1,0,"1,342"
Share High,Delaware,P.1,0,"1,342"
Share,Delaware,P.2,0,"1,342"
Share Low,Delaware,P.2,0,"1,342"
Share High,Delaware,P.2,0,"1,342"
Share,District of Columbia,AY.1 (Delta),0,916
Share Low,District of Columbia,AY.1 (Delta),0,916
Share High,District of Columbia,AY.1 (Delta),0,916
Share,District of Columbia,AY.2 (Delta),0,916
Share Low,District of Columbia,AY.2 (Delta),0,916
Share High,District of Columbia,AY.2 (Delta),0,916
Share,District of Columbia,B.1.1.7 (Alpha),0,916
Share Low,District of Columbia,B.1.1.7 (Alpha),0,916
Share High,District of Columbia,B.1.1.7 (Alpha),0,916
Share,District of Columbia,B.1.1.529 (Omicron),0.974617600,916
Share Low,District of Columbia,B.1.1.529 (Omicron),0.962236226,916
Share High,District of Columbia,B.1.1.529 (Omicron),0.983799160,916
Share,District of Columbia,B.1.351,0,916
Share Low,District of Columbia,B.1.351,0,916
Share High,District of Columbia,B.1.351,0,916
Share,District of Columbia,B.1.427/429,0,916
Share Low,District of Columbia,B.1.427/429,0,916
Share High,District of Columbia,B.1.427/429,0,916
Share,District of Columbia,B.1.525,0,916
Share Low,District of Columbia,B.1.525,0,916
Share High,District of Columbia,B.1.525,0,916
Share,District of Columbia,B.1.526 (Iota),0,916
Share Low,District of Columbia,B.1.526 (Iota),0,916
Share High,District of Columbia,B.1.526 (Iota),0,916
Share,District of Columbia,B.1.617.1,0,916
Share Low,District of Columbia,B.1.617.1,0,916
Share High,District of Columbia,B.1.617.1,0,916
Share,District of Columbia,B.1.617.2 (Delta),0.025382377,916
Share Low,District of Columbia,B.1.617.2 (Delta),0.016200842,916
Share High,District of Columbia,B.1.617.2 (Delta),0.037763756,916
Share,District of Columbia,B.1.617.3,0,916
Share Low,District of Columbia,B.1.617.3,0,916
Share High,District of Columbia,B.1.617.3,0,916
Share,District of Columbia,B.1.621 (Mu),0,916
Share Low,District of Columbia,B.1.621 (Mu),0,916
Share High,District of Columbia,B.1.621 (Mu),0,916
Share,District of Columbia,BA.2 (Omicron),0,916
Share Low,District of Columbia,BA.2 (Omicron),0,916
Share High,District of Columbia,BA.2 (Omicron),0,916
Share,District of Columbia,Other,0,916
Share Low,District of Columbia,Other,0,916
Share High,District of Columbia,Other,0,916
Share,District of Columbia,P.1,0,916
Share Low,District of Columbia,P.1,0,916
Share High,District of Columbia,P.1,0,916
Share,District of Columbia,P.2,0,916
Share Low,District of Columbia,P.2,0,916
Share High,District of Columbia,P.2,0,916
Share,Federated States of Micronesia,AY.1 (Delta),,0
Share Low,Federated States of Micronesia,AY.1 (Delta),0,0
Share High,Federated States of Micronesia,AY.1 (Delta),0,0
Share,Federated States of Micronesia,AY.2 (Delta),,0
Share Low,Federated States of Micronesia,AY.2 (Delta),0,0
